SalesID,Product,Region,Sales,Year
1001,,North,,2022
1002,Product B,South,777.0,2022
1003,Product E,West Coast,416.0,2022
1004,Product B,South,658.0,2022
1005,,,,2022
1006,Product D,Central,542.0,2022
1007,,West Coast,,2022
1008,Product B,East,452.0,2023
1009,Product A,East,,2023
1010,Product A,,635.0,2023
1011,Product A,Central,,2022
1012,,North,423.0,2023
1013,Product A,South,843.0,2023
1014,Product C,West Coast,,2022
1015,Product C,East,,2022
1016,Product E,,487.0,2022
1017,Product D,West Coast,538.0,2023
1018,Product A,South,820.0,2023
1019,Product D,East,433.0,2023
1020,Product B,,,2023
1021,Product B,East,471.0,2023
1022,,Central,,2023
1023,Product B,South,,2022
1024,Product A,North,478.0,2023
1025,Product E,North,,2023
1026,Product E,East,897.0,2022
1027,,Central,,2023
1028,Product A,East,622.0,2023
1029,Product A,,,2022
1030,Product E,North,,2022
1031,Product B,East,790.0,2022
1032,Product E,East,650.0,2022
1033,Product C,East,522.0,2022
1034,Product E,North,,2022
1035,Product E,South,,2022
1036,Product C,Central,,2022
1037,Product E,,753.0,2023
1038,Product D,,,2023
1039,Product E,West Coast,461.0,2022
1040,Product A,East,410.0,2022
1041,Product A,North,762.0,2022
1042,Product A,North,,2022
1043,Product E,South,,2022
1044,Product E,South,,2022
1045,Product D,West Coast,497.0,2022
1046,,West Coast,,2023
1047,Product D,,427.0,2022
1048,Product D,,573.0,2022
1049,Product B,South,,2022
1050,Product D,South,,2022
1051,Product A,West Coast,813.0,2022
1052,,Central,828.0,2022
1053,Product B,South,,2023
1054,Product B,West Coast,862.0,2022
1055,Product D,North,,2023
1056,Product C,West Coast,,2022
1057,Product B,East,511.0,2022
1058,,East,429.0,2023
1059,Product E,Central,480.0,2022
1060,Product B,North,704.0,2022
1061,Product D,North,882.0,2022
1062,Product E,North,,2023
1063,Product B,,,2022
1064,Product C,West Coast,,2023
1065,Product C,North,,2022
1066,Product A,Central,,2022
1067,Product C,North,850.0,2023
1068,Product C,South,,2022
1069,,Central,553.0,2022
1070,Product C,North,855.0,2022
1071,Product C,East,709.0,2023
1072,Product B,,,2023
1073,Product C,North,,2023
1074,Product A,North,570.0,2023
1075,Product B,,,2022
1076,Product A,North,883.0,2022
1077,Product C,Central,682.0,2023
1078,Product B,North,,2022
1079,Product C,South,749.0,2022
1080,Product C,Central,,2022
1081,Product B,South,899.0,2023
1082,Product A,South,,2023
1083,,,815.0,2023
1084,Product B,,,2022
