Ticket_ID,Created_Date,Region,City,Issue_Category,Priority,Resolution_Time_Hours,Customer_Type,Satisfaction_Score
500000,2022-07-27,nan,Pune,Billing,Medium,36,Existing,5
500001,2024-04-04,nan,Chennai,nan,Medium,10,Existing,2
500002,2024-02-12,Central,Ahmedabad,Network,High,41,New,2
500003,2022-02-18,Central,Bengaluru,Service,Low,206,New,4
500004,2023-01-04,Central,Chennai,Hardware,Critical,31,Existing,5
500005,2022-05-01,West,Ahmedabad,Billing,Low,175,New,4
500006,2023-02-24,nan,Kolkata,Billing,Low,17,Existing,3
500007,2023-12-02,North,Mumbai,nan,Medium,87,Existing,3
500008,2023-09-03,nan,Kolkata,Network,High,223,New,3
500009,2023-05-27,nan,Kolkata,Network,Medium,10,Existing,5
500010,2024-01-24,North,Ahmedabad,Network,High,42,New,3
500011,2022-07-22,East,Mumbai,Network,Medium,118,New,5
500012,2024-04-20,West,nan,Billing,Low,38,Existing,2
500013,2023-09-15,nan,Kolkata,Software,Medium,214,Existing,1
500014,2023-03-24,South,Pune,Billing,Medium,67,Existing,5
500015,2023-03-05,West,Bengaluru,Hardware,Medium,144,Existing,3
500016,2024-04-09,East,Kolkata,nan,Medium,55,New,5
500017,2022-09-11,West,Bengaluru,nan,Medium,43,New,5
500018,2022-08-22,East,Pune,Billing,Medium,187,Existing,3
500019,2024-02-05,North,Chennai,Billing,Low,95,New,5
500020,2024-01-29,nan,Chennai,Billing,High,18,nan,4
500021,2022-05-03,East,Mumbai,Billing,Medium,50,New,
500022,2022-11-01,Central,Hyderabad,nan,Low,127,Existing,2
500023,2022-08-27,nan,Pune,Service,Medium,9,New,1
500024,2024-05-18,West,Ahmedabad,Software,Medium,122,New,4
500025,2023-08-20,nan,Kolkata,nan,Medium,65,Existing,3
500026,2022-11-12,East,Chennai,Hardware,Medium,129,New,4
500027,2023-10-23,Central,Bengaluru,Software,Medium,133,Existing,4
500028,2024-06-06,North,Hyderabad,Service,Low,37,New,1
500029,2023-12-18,South,Ahmedabad,nan,High,4,Existing,3
500030,2022-07-04,East,Mumbai,Hardware,Medium,144,nan,1
500031,2023-11-13,West,Bengaluru,Billing,High,57,Existing,5
500032,2023-10-08,nan,Pune,Service,Low,88,Existing,
500033,2023-05-02,nan,Pune,Service,Low,211,Existing,3
